ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2011,9/4/2011,21,Estádio Raimundo Sampaio,Sandro Ricci,2644.0,,américa-mg,vasco da gama,Givanildo Oliveira,Cristóvão Borges,20.0,2.0,3150000.0,12450000.0,26.7,27.7,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,derrota,fora,
2011,11/16/2011,35,Allianz Parque,Leandro Pedro Vuaden,8153.0,,palmeiras,vasco da gama,Luiz Felipe Scolari,Cristóvão Borges,13.0,1.0,11800000.0,16100000.0,25.3,26.1,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,empate,fora,
2010,8/15/2010,14,Estádio Municipal Eduardo José Farah,Franscisco Carlos do Nascimento,5047.0,,barueri,vasco da gama,,,17.0,11.0,,,,,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2010,5/16/2010,2,Estádio São Januário,Wilton Sampaio,11236.0,,vasco da gama,palmeiras,Gaúcho,Antônio Carlos Zago,15.0,5.0,13600000.0,28100000.0,24.4,28.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,casa,
2010,5/27/2010,4,Estádio São Januário,Héber Lopes,4081.0,,vasco da gama,internacional,Celso Roth,Jorge Fossati,18.0,13.0,16400000.0,29100000.0,23.9,28.7,3.0,2.0,0.0,2.0,,,,,,,,,,,,,,,vitoria,casa,
2010,6/3/2010,6,Estádio São Januário,André Luiz de Freitas Castro,6002.0,,vasco da gama,guarani,Celso Roth,Vágner Mancini,16.0,12.0,14100000.0,5800000.0,24.1,27.7,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,derrota,casa,
2010,9/19/2010,23,Estádio Beira-Rio,Franscisco Carlos do Nascimento,27061.0,,internacional,vasco da gama,Celso Roth,Paulo César Gusmão,6.0,7.0,16600000.0,13450000.0,28.7,24.7,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,7/14/2010,8,Estádio do Governo do Estado de Goiás,Leandro Pedro Vuaden,11000.0,,goiás ec,vasco da gama,Emerson Leão,Paulo César Gusmão,7.0,19.0,8600000.0,8900000.0,26.3,23.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2010,10/17/2010,30,Estádio Serra Dourada,Márcio Chagas da Silva,14175.0,,atlético-go,vasco da gama,Renê Simões,Paulo César Gusmão,17.0,10.0,5250000.0,10800000.0,27.6,25.8,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,9/4/2010,19,Estádio Governador Plácido Castelo,Salvio Fagundes Filho,19528.0,,ceará sc,vasco da gama,Mário Sérgio,Paulo César Gusmão,8.0,7.0,3700000.0,13150000.0,27.3,24.8,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2010,8/25/2010,16,Estádio Cícero Pompeu de Toledo,Carlos Simon,10563.0,,são paulo,vasco da gama,Sérgio Baresi,Paulo César Gusmão,14.0,9.0,28800000.0,11950000.0,25.9,25.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2010,10/6/2010,28,Arena da Baixada,Paulo César de Oliveira,16161.0,,atlético-pr,vasco da gama,Sérgio Soares,Paulo César Gusmão,7.0,9.0,6400000.0,11050000.0,25.1,24.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
2010,9/25/2010,25,Estádio Brinco de Ouro da Princesa,Héber Lopes,4294.0,,guarani,vasco da gama,Vágner Mancini,Paulo César Gusmão,14.0,9.0,4700000.0,12100000.0,27.8,23.8,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,derrota,fora,
2010,8/1/2010,12,Estádio Jornalista Mário Filho,Péricles Bassols Pegado Cortez,57035.0,,flamengo,vasco da gama,Rogério Lourenço,Paulo César Gusmão,7.0,12.0,15150000.0,10300000.0,29.5,26.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,empate,fora,
